State,2015,2010,2000,1990,1980,1970,1960,1950
Alabama,4858979,4779735,4447100,4040587,3893888,3444165,3266740,3061743
Alaska,738432,710231,626932,550043,401851,300382,226167,128643
Arizona,6828065,6329013,5130632,3665228,2718215,1770900,1302161,749587
Arkansas,2978204,2915921,2673400,2350725,2286435,1923295,1786272,1909511
California,39144818,37253956,33871648,29760021,23667902,19953134,15717204,10586223
Colorado,5456574,5029196,4301261,3294394,2889964,2207259,1753947,1325089
Connecticut,3590886,3574097,3405565,3287116,3107576,3031709,2535234,2007280
Delaware,945934,897934,783600,666168,594338,548104,446292,318085
District of Columbia,672228,601723,572059,606900,638333,756510,763956,802178
Florida,20271272,18801311,15982378,12937926,9746324,6789443,4951560,2771305
Georgia,10214860,9687653,8186453,6478216,5463105,4589575,3943116,3444578
Hawaii,1431603,1360301,1211537,1108229,964691,768561,632772,499794
Idaho,1654930,1567582,1293953,1006749,943935,712567,667191,588637
Illinois,12859995,12830632,12419293,11430602,11426518,11113976,10081158,8712176
Indiana,6619680,6483800,6080485,5544159,5490224,5193669,4662498,3934224
Iowa,3123899,3046350,2926324,2776755,2913808,2824376,2757537,2621073
Kansas,2911641,2853118,2688418,2477574,2363679,2246578,2178611,1905299
Kentucky,4425092,4339362,4041769,3685296,3660777,3218706,3038156,2944806
Louisiana,4649676,4515770,4468976,4219973,4205900,3641306,3257022,2683516
Maine,1329328,1328361,1274923,1227928,1124660,992048,969265,913774
Maryland,6006401,5773552,5296486,4781468,4216975,3922399,3100689,2343001
Massachusetts,6794422,6547629,6349097,6016425,5737037,5689170,5148578,4690514
Michigan,9922576,9883635,9938444,9295297,9262078,8875083,7823194,6371766
Minnesota,5489594,5303925,4919479,4375099,4075970,3804971,3413864,2982483
Mississippi,2992333,2967297,2844658,2573216,2520638,2216912,2178141,2178914
Missouri,6083672,5988927,5595211,5117073,4916686,4676501,4319813,3954653
Montana,1032949,989415,902195,799065,786690,694409,674767,591024
Nebraska,1896190,1826341,1711263,1578385,1569825,1483493,1411330,1325510
Nevada,2890845,2700551,1998257,1201833,800493,488738,285278,160083
New Hampshire,1330608,1316472,1235786,1109252,920610,737681,606921,533242
New Jersey,8958013,8791894,8414350,7730188,7364823,7168164,6066782,4835329
New Mexico,2085109,2059180,1819046,1515069,1302894,1016000,951023,681187
New York,19795791,19378104,18976457,17990455,17558072,18236967,16782304,14830192
North Carolina,10042802,9535475,8049313,6628637,5881766,5082059,4556155,4061929
North Dakota,756927,672591,642200,638800,652717,617761,632446,619636
Ohio,11613423,11536502,11353140,10847115,10797630,10652017,9706397,7946627
Oklahoma,3911338,3751354,3450654,3145585,3025290,2559229,2328284,2233351
Oregon,4028977,3831074,3421399,2842321,2633105,2091385,1768687,1521341
Pennsylvania,12802503,12702379,12281054,11881643,11863895,11793909,11319366,10498012
Rhode Island,1056298,1052567,1048319,1003464,947154,946725,859488,791896
South Carolina,4896146,4625364,4012012,3486703,3121820,2590516,2382594,2117027
South Dakota,858469,814180,754844,696004,690768,665507,680514,652740
Tennessee,6600299,6346110,5689283,4877185,4591120,3923687,3567089,3291718
Texas,27469114,25145561,20851820,16986510,14229191,11196730,9579677,7711194
Utah,2995919,2763885,2233169,1722850,1461037,1059273,890627,688862
Vermont,626042,625741,608827,562758,511456,444330,389881,377747
Virginia,8382993,8001024,7078515,6187358,5346818,4648494,3966949,3318680
Washington,7170351,6724540,5894121,4866692,4132156,3409169,2853214,2378963
West Virginia,1844128,1852996,1808344,1793477,1949644,1744237,1860421,2005552
Wisconsin,5771337,5686986,5363675,4891769,4705767,4417731,3951777,3434575
Wyoming,586107,563626,493782,453588,469557,332416,330066,290529
Total U.S.,321418820,308745538,281421906,248709873,226545805,203211926,179323175,152271417
